City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
Mostakbal City,"3,216,000", 240 m2,5,4,apartment
Mostakbal City,"2,900,000", 225 m2,4,4,apartment
Mostakbal City,"2,580,000", 215 m2,4,4,apartment
Mostakbal City,"2,664,000", 205 m2,4,3,apartment
Mostakbal City,"2,350,000", 205 m2,4,3,apartment
Mostakbal City,"2,375,000", 190 m2,4,3,apartment
Mostakbal City,"2,261,000", 190 m2,4,3,apartment
Mostakbal City,"2,312,500", 185 m2,4,3,apartment
Mostakbal City,"2,185,000", 185 m2,3,2,apartment
Mostakbal City,"2,300,000", 175 m2,4,3,apartment
Mostakbal City,"2,187,500", 175 m2,4,3,apartment
Mostakbal City,"2,070,000", 168 m2,4,2,apartment
Mostakbal City,"1,950,000", 168 m2,4,2,apartment
Mostakbal City,"2,227,000", 165 m2,4,2,apartment
Mostakbal City,"1,980,000", 165 m2,4,2,apartment
Mostakbal City,"4,600,000", 263 m2,4,4,town-house
Mostakbal City,"3,000,000", 224 m2,4,4,duplex
Mostakbal City,"2,900,000", 224 m2,4,3,duplex
Mostakbal City,"3,050,000", 265 m2,4,4,apartment
Mostakbal City,"3,375,000", 250 m2,4,4,apartment
6th October,"8,000,000", 308 m2,6,4,twin-house
6th October,"11,000,000", 290 m2,5,4,villa
6th October,"11,000,000", 490 m2,5,4,villa
6th October,"6,500,000", 320 m2,5,3,town-house
6th October,"5,500,000", 306 m2,4,4,town-house
6th October,"4,250,000", 260 m2,5,4,town-house
6th October,"4,700,000", 306 m2,5,3,town-house
6th October,"5,000,000", 260 m2,4,4,town-house
6th October,"4,800,000", 358 m2,5,3,town-house
6th October,"6,122,000", 230 m2,4,3,town-house
6th October,"6,122,000", 229 m2,4,3,town-house
6th October,"4,530,000", 257 m2,3,3,town-house
6th October,"5,500,000", 257 m2,4,4,town-house
6th October,"4,800,000", 275 m2,4,3,town-house
6th October,"5,200,000", 306 m2,6,3,town-house
6th October,"4,800,000", 306 m2,5,3,town-house
6th October,"4,100,000", 275 m2,4,4,town-house
6th October,"4,200,000", 265 m2,4,3,town-house
6th October,"5,000,000", 277 m2,4,3,town-house
6th October,"7,300,000", 260 m2,5,4,town-house
6th October,"6,572,000", 256 m2,4,4,town-house
6th October,"4,000,000", 227 m2,4,3,town-house
6th October,"4,500,000", 270 m2,5,4,town-house
6th October,"1,900,000", 137 m2,3,2,apartment
6th October,"1,950,000", 108 m2,2,2,apartment
6th October,"2,070,000", 152 m2,3,2,apartment
6th October,"2,070,000", 152 m2,3,2,apartment
6th October,"1,521,000", 103 m2,2,2,apartment
6th October,"1,641,000", 103 m2,2,2,apartment
6th October,"2,400,000", 139 m2,3,2,apartment
6th October,"1,876,000", 118 m2,2,2,apartment
6th October,"1,500,000", 120 m2,2,2,apartment
6th October,"2,400,000", 176 m2,3,3,apartment
6th October,"1,840,000", 149 m2,3,2,apartment
6th October,"2,071,000", 152 m2,3,3,apartment
6th October,"2,216,000", 180 m2,3,3,apartment
6th October,"1,983,055", 152 m2,3,2,apartment
6th October,"2,347,000", 161 m2,3,3,apartment
6th October,"2,306,000", 180 m2,3,3,apartment
6th October,"2,071,000", 152 m2,3,3,apartment
6th October,"1,700,000", 133 m2,3,3,apartment
6th October,"650,000", 40 m2,1,1,apartment
6th October,"2,050,000", 180 m2,3,2,apartment
6th October,"1,990,000", 137 m2,3,2,apartment
6th October,"1,000,000", 90 m2,2,2,apartment
6th October,"1,840,000", 149 m2,3,2,apartment
6th October,"1,541,000", 103 m2,2,2,apartment
6th October,"2,800,000", 259 m2,4,4,twin-house
6th October,"2,365,000", 185 m2,4,2,twin-house
6th October,"3,700,000", 185 m2,3,4,twin-house
6th October,"3,700,000", 225 m2,3,3,twin-house
6th October,"3,400,000", 185 m2,2,2,twin-house
6th October,"4,500,000", 185 m2,4,4,twin-house
6th October,"2,500,000", 260 m2,3,3,villa
6th October,"4,000,000", 400 m2,4,4,villa
6th October,"9,300,000", 370 m2,6,5,villa
6th October,"4,100,000", 196 m2,3,3,villa
6th October,"6,800,000", 370 m2,6,5,villa
6th October,"4,500,000", 333 m2,3,3,villa
6th October,"4,480,000", 400 m2,3,4,villa
6th October,"3,991,000", 334 m2,3,4,villa
6th October,"1,100,000", 78 m2,2,1,villa
6th October,"6,000,000", 192 m2,3,3,villa
6th October,"2,250,000", 185 m2,3,3,villa
6th October,"4,500,000", 333 m2,3,3,villa
New Cairo,"2,012,160", 128 m2,2,2,apartment
New Cairo,"2,150,000", 155 m2,3,2,apartment
New Cairo,"1,390,000", 128 m2,2,1,apartment
New Cairo,"1,850,000", 155 m2,3,3,apartment
New Cairo,"2,300,000", 220 m2,4,3,apartment
New Cairo,"2,035,000", 175 m2,3,3,apartment
New Cairo,"2,070,000", 155 m2,3,3,apartment
6th October,"4,870,308", 301 m2,3,2,villa
6th October,"4,555,385", 272 m2,3,2,villa
6th October,"4,029,658", 262 m2,3,2,villa
6th October,"4,049,231", 274 m2,3,2,villa
6th October,"4,270,234", 260 m2,3,2,villa
6th October,"4,365,578", 273 m2,3,2,villa
New Cairo,"3,200,000", 200 m2,3,3,apartment
6th October,"5,021,247", 302 m2,3,2,villa
6th October,"4,686,587", 254 m2,3,2,villa
6th October,"4,206,942", 264 m2,3,2,villa
New Cairo,"1,451,000", 128 m2,2,1,apartment
6th October,"4,195,443", 265 m2,3,2,villa
6th October,"4,195,054", 261 m2,3,2,villa
6th October,"4,492,116", 273 m2,3,2,villa
6th October,"3,728,937", 260 m2,3,2,villa
6th October,"5,027,238", 304 m2,3,2,villa
New Cairo,"1,900,000", 130 m2,2,2,apartment
6th October,"4,984,933", 303 m2,3,2,villa
6th October,"4,870,308", 302 m2,3,2,villa
6th October,"3,999,586", 262 m2,3,2,villa
6th October,"3,999,586", 273 m2,3,2,villa
6th October,"3,951,919", 265 m2,3,2,villa
6th October,"3,758,877", 260 m2,3,2,villa
6th October,"4,159,952", 274 m2,3,2,villa
New Cairo,"2,631,200", 175 m2,3,2,apartment
6th October,"4,403,685", 264 m2,3,2,villa
6th October,"3,300,000", 254 m2,3,3,villa
6th October,"3,650,000", 260 m2,4,3,villa
6th October,"3,600,000", 255 m2,3,3,villa
New Cairo,"2,255,000", 220 m2,4,3,apartment
New Cairo,"2,100,000", 155 m2,2,2,apartment
6th October,"16,805,954", 627 m2,6,5,villa
New Cairo,"2,032,000", 140 m2,2,2,apartment
6th October,"9,555,953", 386 m2,4,3,villa
6th October,"9,990,318", 387 m2,4,3,villa
6th October,"11,787,587", 459 m2,5,4,villa
New Cairo,"1,524,000", 128 m2,2,2,apartment
6th October,"7,815,264", 313 m2,4,2,villa
6th October,"6,833,006", 313 m2,4,2,villa
6th October,"6,842,188", 313 m2,4,2,villa
New Cairo,"2,000,000", 200 m2,4,3,apartment
6th October,"7,080,177", 313 m2,4,2,villa
New Cairo,"1,732,900", 140 m2,2,2,apartment
6th October,"7,010,628", 288 m2,4,2,villa
6th October,"6,883,162", 288 m2,4,2,villa
6th October,"6,713,435", 288 m2,4,2,villa
New Cairo,"2,284,468", 175 m2,3,3,apartment
6th October,"2,648,635", 166 m2,3,2,pent-house
6th October,"6,777,069", 288 m2,4,2,villa
6th October,"6,787,189", 313 m2,4,2,villa
6th October,"7,202,065", 313 m2,4,2,villa
New Cairo,"2,580,000", 155 m2,2,3,apartment
6th October,"7,301,759", 313 m2,4,2,villa
6th October,"6,969,861", 313 m2,4,2,villa
6th October,"7,025,668", 313 m2,4,2,villa
6th October,"2,681,121", 168 m2,2,2,pent-house
6th October,"2,706,981", 165 m2,2,2,pent-house
6th October,"2,673,981", 165 m2,2,2,pent-house
6th October,"2,750,018", 165 m2,2,2,pent-house
6th October,"2,758,091", 168 m2,2,2,pent-house
New Administrative Capital,"2,130,120", 194 m2,4,4,apartment
New Administrative Capital,"2,997,540", 273 m2,7,5,apartment
New Administrative Capital,"5,014,067", 461 m2,8,7,duplex
New Administrative Capital,"3,041,460", 277 m2,6,5,apartment
6th October,"5,585,700", 255 m2,4,3,twin-house
New Administrative Capital,"3,169,530", 273 m2,6,6,apartment
6th October,"7,200,000", 285 m2,4,3,twin-house
6th October,"9,144,600", 352 m2,5,4,twin-house
6th October,"16,000,000", 352 m2,5,4,twin-house
New Administrative Capital,"3,204,360", 276 m2,8,6,apartment
New Administrative Capital,"1,501,950", 155 m2,3,3,apartment
6th October,"16,000,000", 420 m2,5,4,twin-house
6th October,"11,000,000", 456 m2,5,4,twin-house
New Administrative Capital,"1,300,000", 124 m2,3,3,apartment
6th October,"5,000,000", 450 m2,5,4,twin-house
6th October,"16,000,000", 460 m2,5,4,twin-house
6th October,"16,500,000", 500 m2,5,4,twin-house
New Administrative Capital,"1,454,371", 144 m2,3,2,apartment
New Administrative Capital,"1,979,985", 169 m2,3,3,apartment
6th October,"18,000,000", 725 m2,5,4,twin-house
6th October,"16,500,000", 645 m2,5,4,twin-house
New Administrative Capital,"1,234,000", 169 m2,3,3,apartment
6th October,"16,000,000", 630 m2,5,4,twin-house
6th October,"12,500,000", 637 m2,5,4,twin-house
6th October,"18,000,000", 620 m2,5,4,twin-house
New Administrative Capital,"1,151,905", 156 m2,3,2,apartment
6th October,"6,400,000", 217 m2,4,3,town-house
6th October,"5,650,000", 255 m2,4,3,town-house
6th October,"5,800,000", 246 m2,4,3,town-house
6th October,"4,500,000", 258 m2,4,3,town-house
6th October,"5,600,000", 260 m2,4,3,town-house
6th October,"4,850,000", 275 m2,4,3,town-house
6th October,"6,000,000", 185 m2,4,3,town-house
New Administrative Capital,"1,332,983", 124 m2,2,1,apartment
New Administrative Capital,"2,858,000", 193 m2,3,3,apartment
6th October,"3,950,000", 260 m2,4,3,town-house
6th October,"3,855,000", 183 m2,4,3,town-house
6th October,"3,660,000", 184 m2,4,3,town-house
New Administrative Capital,"1,332,983", 124 m2,2,2,apartment
New Administrative Capital,"1,214,200", 175 m2,3,3,apartment
6th October,"4,400,000", 230 m2,4,3,town-house
New Administrative Capital,"1,540,000", 144 m2,3,3,apartment
6th October,"3,600,000", 297 m2,4,4,town-house
6th October,"2,100,000", 220 m2,4,3,villa
6th October,"2,600,000", 316 m2,4,3,villa
6th October,"4,000,000", 384 m2,6,6,twin-house
New Administrative Capital,"1,302,000", 124 m2,2,2,apartment
6th October,"3,200,000", 280 m2,3,3,villa
New Administrative Capital,"1,874,250", 175 m2,3,3,apartment
6th October,"3,000,000", 328 m2,3,4,villa
6th October,"2,400,000", 228 m2,3,2,villa
6th October,"7,000,000", 345 m2,4,4,villa
6th October,"3,350,000", 287 m2,4,3,villa
6th October,"2,400,000", 227 m2,3,3,villa
6th October,"3,250,000", 270 m2,3,3,villa
6th October,"3,300,000", 273 m2,3,3,villa
6th October,"2,800,000", 272 m2,3,3,villa
6th October,"3,375,000", 218 m2,3,3,villa
New Administrative Capital,"1,501,950", 155 m2,3,3,apartment
New Administrative Capital,"1,400,000", 124 m2,2,2,apartment
6th October,"4,500,000", 290 m2,4,5,town-house
New Administrative Capital,"1,472,900", 143 m2,3,3,apartment
6th October,"2,850,000", 316 m2,3,4,villa
6th October,"4,300,000", 297 m2,6,6,twin-house
6th October,"2,550,000", 227 m2,3,3,villa
New Administrative Capital,"1,146,000", 141 m2,3,2,apartment
6th October,"4,535,370", 231 m2,4,3,town-house
6th October,"2,680,000", 272 m2,3,3,villa
New Administrative Capital,"1,500,000", 144 m2,3,3,apartment
6th October,"3,200,000", 275 m2,3,3,villa
6th October,"2,450,000", 285 m2,3,3,villa
6th October,"2,400,000", 257 m2,4,3,villa
New Administrative Capital,"2,800,000", 265 m2,5,4,apartment
New Administrative Capital,"2,751,500", 265 m2,5,4,apartment
New Administrative Capital,"2,751,500", 273 m2,5,4,apartment
New Administrative Capital,"2,976,000", 273 m2,5,4,apartment
New Administrative Capital,"2,320,000", 212 m2,4,3,apartment
New Administrative Capital,"2,426,000", 212 m2,4,3,apartment
New Administrative Capital,"2,320,000", 210 m2,4,3,apartment
New Administrative Capital,"2,200,000", 220 m2,4,3,apartment
New Administrative Capital,"1,696,000", 212 m2,4,3,apartment
New Administrative Capital,"2,528,000", 316 m2,5,3,duplex
New Administrative Capital,"1,785,000", 210 m2,3,3,apartment
New Administrative Capital,"1,548,000", 212 m2,4,3,apartment
New Administrative Capital,"2,973,500", 313 m2,5,3,duplex
New Administrative Capital,"1,376,000", 172 m2,3,3,apartment
New Administrative Capital,"1,908,000", 212 m2,3,3,apartment
New Administrative Capital,"2,652,000", 312 m2,5,4,duplex
New Administrative Capital,"1,400,000", 175 m2,3,3,apartment
New Administrative Capital,"1,696,000", 212 m2,3,3,apartment
New Administrative Capital,"1,575,000", 175 m2,3,3,apartment
New Administrative Capital,"3,885,500", 350 m2,6,5,apartment
New Administrative Capital,"3,912,500", 350 m2,6,5,apartment
New Administrative Capital,"3,140,500", 270 m2,6,5,apartment
New Administrative Capital,"3,130,000", 270 m2,6,5,apartment
New Administrative Capital,"2,630,000", 260 m2,5,4,apartment
New Administrative Capital,"2,826,000", 260 m2,5,4,apartment
New Administrative Capital,"2,203,750", 205 m2,4,3,apartment
New Administrative Capital,"2,255,000", 205 m2,4,3,apartment
New Administrative Capital,"1,650,000", 150 m2,3,2,apartment
New Administrative Capital,"1,987,500", 150 m2,3,2,apartment
New Administrative Capital,"1,837,000", 167 m2,3,2,apartment
New Administrative Capital,"1,837,000", 167 m2,3,2,apartment
New Administrative Capital,"1,698,750", 151 m2,3,2,apartment
New Administrative Capital,"2,467,500", 210 m2,3,2,apartment
New Administrative Capital,"2,547,750", 237 m2,5,4,apartment
New Administrative Capital,"2,547,750", 268 m2,5,4,apartment
New Administrative Capital,"3,631,025", 277 m2,5,4,apartment
New Administrative Capital,"2,789,250", 210 m2,4,3,apartment
New Administrative Capital,"1,943,625", 151 m2,3,2,apartment
New Administrative Capital,"1,841,600", 146 m2,3,2,apartment
New Administrative Capital,"3,456,400", 268 m2,4,3,duplex
New Administrative Capital,"3,631,025", 277 m2,5,3,duplex
New Administrative Capital,"3,398,100", 240 m2,5,3,pent-house
New Administrative Capital,"3,719,300", 263 m2,6,4,pent-house
New Administrative Capital,"1,769,330", 146 m2,3,2,apartment
New Administrative Capital,"2,499,125", 205 m2,4,3,apartment
New Administrative Capital,"1,848,750", 150 m2,3,2,apartment
New Administrative Capital,"2,095,700", 167 m2,3,2,apartment
New Administrative Capital,"2,042,900", 160 m2,3,2,apartment
New Administrative Capital,"2,640,200", 212 m2,4,3,apartment
New Administrative Capital,"3,527,900", 268 m2,4,3,apartment
New Administrative Capital,"1,700,000", 170 m2,3,2,apartment
New Administrative Capital,"1,566,000", 180 m2,3,2,apartment
New Administrative Capital,"1,947,000", 205 m2,4,3,apartment
New Administrative Capital,"1,384,000", 155 m2,3,2,apartment
New Administrative Capital,"1,472,000", 155 m2,3,2,apartment
New Administrative Capital,"3,182,000", 335 m2,5,3,duplex
New Administrative Capital,"2,750,000", 212 m2,4,3,pent-house
New Administrative Capital,"2,869,000", 302 m2,5,3,duplex
New Administrative Capital,"2,835,000", 315 m2,5,3,duplex
New Administrative Capital,"1,470,000", 117 m2,2,2,apartment
New Administrative Capital,"1,350,000", 130 m2,3,2,apartment
New Administrative Capital,"1,708,480", 152 m2,3,2,apartment
New Administrative Capital,"1,789,040", 152 m2,3,2,apartment
New Administrative Capital,"1,828,480", 152 m2,3,2,apartment
New Administrative Capital,"2,307,240", 221 m2,4,3,apartment
New Administrative Capital,"2,187,900", 221 m2,4,3,apartment
New Administrative Capital,"2,037,200", 160 m2,4,3,apartment
New Administrative Capital,"2,164,500", 160 m2,4,3,apartment
New Administrative Capital,"2,094,500", 160 m2,4,3,apartment
New Administrative Capital,"3,134,270", 251 m2,4,3,apartment
New Administrative Capital,"3,603,120", 273 m2,4,3,apartment
New Administrative Capital,"1,700,000", 160 m2,3,2,apartment
New Administrative Capital,"1,277,200", 124 m2,3,2,apartment
New Administrative Capital,"2,000,000", 170 m2,3,2,apartment
New Administrative Capital,"1,400,000", 130 m2,2,2,apartment
New Administrative Capital,"1,584,000", 160 m2,3,2,apartment
New Administrative Capital,"1,469,000", 117 m2,2,2,apartment
New Administrative Capital,"2,247,000", 221 m2,3,2,apartment
New Administrative Capital,"1,540,000", 160 m2,3,2,apartment
New Administrative Capital,"1,469,000", 117 m2,2,2,apartment
New Administrative Capital,"2,606,100", 225 m2,4,3,apartment
New Administrative Capital,"3,391,500", 285 m2,5,4,apartment
New Administrative Capital,"3,343,200", 285 m2,5,4,apartment
New Administrative Capital,"2,581,950", 225 m2,4,3,apartment
New Administrative Capital,"2,594,550", 225 m2,4,3,apartment
New Administrative Capital,"2,531,300", 225 m2,4,3,apartment
New Administrative Capital,"2,631,300", 225 m2,4,3,apartment
New Administrative Capital,"2,556,750", 225 m2,4,3,apartment
New Administrative Capital,"2,092,000", 190 m2,4,3,apartment
New Administrative Capital,"2,514,750", 200 m2,4,3,apartment
New Administrative Capital,"2,180,000", 200 m2,4,3,apartment
New Administrative Capital,"2,289,000", 210 m2,4,3,apartment
New Administrative Capital,"2,300,000", 210 m2,4,3,apartment
New Administrative Capital,"2,329,000", 205 m2,4,3,apartment
New Administrative Capital,"2,229,000", 205 m2,4,3,apartment
New Administrative Capital,"1,837,500", 154 m2,3,2,apartment
New Administrative Capital,"1,846,950", 154 m2,3,2,apartment
New Administrative Capital,"1,855,350", 154 m2,3,2,apartment
New Administrative Capital,"1,873,200", 154 m2,3,2,apartment
New Administrative Capital,"1,873,200", 154 m2,3,2,apartment
6th October,"2,530,000", 230 m2,3,3,apartment
6th October,"2,739,000", 249 m2,3,3,apartment
6th October,"2,101,000", 191 m2,3,3,apartment
6th October,"2,457,000", 234 m2,3,3,apartment
6th October,"2,572,000", 245 m2,3,3,apartment
6th October,"2,090,000", 190 m2,3,3,apartment
6th October,"2,587,000", 225 m2,3,3,apartment
6th October,"2,645,000", 230 m2,3,3,apartment
6th October,"2,662,000", 242 m2,3,3,apartment
6th October,"2,651,000", 241 m2,3,3,apartment
6th October,"2,728,000", 248 m2,3,3,apartment
6th October,"2,574,000", 234 m2,3,3,apartment
6th October,"2,541,000", 231 m2,3,3,apartment
6th October,"2,673,000", 243 m2,3,3,apartment
6th October,"2,446,500", 233 m2,3,3,apartment
6th October,"2,215,500", 211 m2,3,3,apartment
6th October,"1,980,000", 165 m2,3,3,apartment
6th October,"1,512,000", 144 m2,3,2,apartment
6th October,"2,509,500", 239 m2,3,3,apartment
6th October,"2,965,000", 245 m2,3,3,apartment
6th October,"1,764,000", 168 m2,3,3,apartment
6th October,"1,892,000", 172 m2,3,3,apartment
6th October,"2,629,000", 239 m2,3,3,apartment
6th October,"4,477,036", 100 m2,1,1,apartment
6th October,"9,434,837", 308 m2,4,3,apartment
6th October,"4,970,849", 158 m2,2,1,apartment
6th October,"5,450,000", 289 m2,4,3,pent-house
6th October,"4,767,860", 151 m2,2,1,apartment
6th October,"6,489,720", 174 m2,3,3,apartment
6th October,"5,515,749", 220 m2,5,5,villa
6th October,"3,629,716", 163 m2,2,2,apartment
6th October,"1,747,000", 76 m2,1,1,apartment
6th October,"4,800,000", 167 m2,2,3,apartment
6th October,"4,040,000", 210 m2,3,3,apartment
6th October,"4,750,000", 250 m2,3,4,apartment
6th October,"7,900,000", 216 m2,3,2,apartment
6th October,"5,145,000", 295 m2,4,4,apartment
6th October,"4,600,000", 256 m2,3,3,pent-house
6th October,"5,017,506", 294 m2,4,5,apartment
6th October,"3,900,000", 120 m2,1,1,apartment
6th October,"3,400,000", 170 m2,3,3,apartment
6th October,"6,934,000", 195 m2,3,2,villa
6th October,"6,999,000", 195 m2,3,2,villa
6th October,"6,943,900", 195 m2,3,2,villa
6th October,"7,481,100", 195 m2,3,2,villa
6th October,"7,307,000", 195 m2,3,2,villa
6th October,"6,959,600", 195 m2,3,2,villa
6th October,"9,692,700", 257 m2,4,3,villa
6th October,"9,352,400", 257 m2,4,3,villa
6th October,"13,523,300", 342 m2,4,3,villa
6th October,"13,523,300", 341 m2,5,2,villa
6th October,"12,703,100", 342 m2,4,3,villa
6th October,"12,703,100", 341 m2,5,3,villa
6th October,"12,605,300", 342 m2,5,3,villa
6th October,"12,605,300", 341 m2,5,3,villa
6th October,"14,197,100", 386 m2,5,3,villa
6th October,"14,004,600", 386 m2,5,3,villa
6th October,"13,790,500", 386 m2,5,3,villa
6th October,"13,775,900", 386 m2,5,3,villa
6th October,"13,773,600", 386 m2,5,3,villa
6th October,"13,784,400", 386 m2,5,3,villa
6th October,"13,809,800", 386 m2,5,3,villa
6th October,"13,943,000", 386 m2,5,3,villa
6th October,"16,223,700", 457 m2,5,5,villa
6th October,"16,222,900", 457 m2,5,5,villa
New Administrative Capital,"3,176,250", 274 m2,4,3,pent-house
New Administrative Capital,"2,791,950", 235 m2,3,3,pent-house
New Administrative Capital,"2,765,700", 234 m2,4,3,pent-house
New Administrative Capital,"2,965,370", 260 m2,4,3,pent-house
New Administrative Capital,"2,917,950", 250 m2,3,3,pent-house
New Administrative Capital,"2,751,130", 241 m2,4,3,pent-house
New Administrative Capital,"2,580,240", 222 m2,4,3,pent-house
New Administrative Capital,"2,382,500", 196 m2,3,2,pent-house
New Administrative Capital,"2,211,000", 184 m2,3,2,pent-house
New Administrative Capital,"1,949,000", 147 m2,3,2,pent-house
New Administrative Capital,"2,497,000", 227 m2,3,2,apartment
New Administrative Capital,"2,080,600", 202 m2,3,2,apartment
New Administrative Capital,"2,145,000", 195 m2,3,2,apartment
New Administrative Capital,"2,300,000", 184 m2,3,2,apartment
New Administrative Capital,"1,984,500", 147 m2,3,2,apartment
New Administrative Capital,"1,404,500", 106 m2,2,1,apartment
New Administrative Capital,"3,146,000", 226 m2,4,3,apartment
New Administrative Capital,"2,631,300", 196 m2,3,2,apartment
New Administrative Capital,"2,503,550", 185 m2,3,2,apartment
New Administrative Capital,"2,063,750", 139 m2,2,2,apartment
New Administrative Capital,"1,590,596", 99 m2,2,2,apartment
New Administrative Capital,"6,644,250", 147 m2,3,2,store
New Administrative Capital,"8,189,350", 70 m2,2,1,store
New Administrative Capital,"3,404,800", 89 m2,2,1,clinic
New Administrative Capital,"1,524,600", 46 m2,1,1,clinic
New Administrative Capital,"2,632,000", 200 m2,4,3,apartment
New Administrative Capital,"3,675,000", 325 m2,5,3,pent-house
New Administrative Capital,"1,600,000", 170 m2,3,2,apartment
New Administrative Capital,"2,222,500", 180 m2,3,2,apartment
New Administrative Capital,"3,108,000", 250 m2,4,3,apartment
New Administrative Capital,"2,857,000", 200 m2,4,3,apartment
New Administrative Capital,"3,800,000", 230 m2,4,3,apartment
New Administrative Capital,"2,832,500", 225 m2,4,3,apartment
New Administrative Capital,"2,600,000", 260 m2,4,3,apartment
New Administrative Capital,"2,373,000", 210 m2,4,3,apartment
New Administrative Capital,"2,016,500", 185 m2,3,2,apartment
New Administrative Capital,"1,490,000", 135 m2,3,2,apartment
New Administrative Capital,"1,220,000", 125 m2,3,2,apartment
New Administrative Capital,"6,575,000", 325 m2,5,3,pent-house
New Administrative Capital,"1,742,500", 115 m2,2,2,apartment
New Administrative Capital,"1,530,000", 170 m2,3,2,apartment
New Administrative Capital,"1,160,000", 105 m2,2,2,apartment
New Administrative Capital,"3,887,000", 300 m2,5,3,apartment
New Administrative Capital,"2,275,000", 185 m2,3,2,apartment
New Administrative Capital,"2,314,000", 195 m2,3,2,apartment
New Administrative Capital,"2,386,500", 215 m2,4,3,apartment
New Administrative Capital,"2,300,000", 200 m2,4,3,apartment
New Administrative Capital,"2,786,000", 230 m2,4,3,apartment
New Administrative Capital,"2,700,000", 225 m2,4,3,apartment
New Administrative Capital,"1,425,000", 250 m2,4,3,duplex
New Administrative Capital,"969,000", 170 m2,3,2,apartment
New Administrative Capital,"832,200", 146 m2,3,2,apartment
New Administrative Capital,"923,400", 162 m2,3,2,apartment
New Administrative Capital,"4,814,500", 413 m2,4,4,twin-house
New Administrative Capital,"4,809,000", 458 m2,4,4,villa
New Administrative Capital,"7,488,000", 576 m2,6,5,villa
New Administrative Capital,"7,350,000", 700 m2,9,5,villa
New Administrative Capital,"13,875,000", 750 m2,8,4,villa
New Administrative Capital,"12,765,000", 690 m2,7,6,villa
New Administrative Capital,"11,470,000", 620 m2,7,7,villa
New Administrative Capital,"3,255,000", 310 m2,5,3,duplex
New Administrative Capital,"3,045,000", 290 m2,4,3,duplex
New Administrative Capital,"2,709,000", 258 m2,4,3,duplex
New Administrative Capital,"2,551,500", 243 m2,4,3,apartment
New Administrative Capital,"2,436,000", 232 m2,4,3,apartment
New Administrative Capital,"2,299,500", 219 m2,3,3,apartment
New Administrative Capital,"2,068,500", 197 m2,3,3,apartment
New Administrative Capital,"4,095,000", 390 m2,4,4,duplex
New Administrative Capital,"2,194,500", 209 m2,3,3,apartment
New Administrative Capital,"1,816,500", 173 m2,3,3,apartment
New Administrative Capital,"8,910,000", 540 m2,5,5,twin-house
New Administrative Capital,"15,440,000", 144 m2,2,1,store
New Administrative Capital,"2,664,000", 222 m2,4,3,apartment
New Administrative Capital,"2,954,500", 222 m2,4,3,apartment
New Administrative Capital,"2,531,000", 193 m2,3,3,apartment
New Administrative Capital,"2,592,000", 192 m2,3,3,apartment
New Administrative Capital,"3,028,500", 232 m2,4,4,apartment
New Administrative Capital,"2,448,000", 192 m2,3,3,apartment
New Administrative Capital,"2,288,500", 199 m2,3,3,apartment
New Administrative Capital,"2,654,500", 192 m2,4,3,apartment
New Administrative Capital,"2,867,000", 214 m2,4,3,apartment
New Administrative Capital,"2,955,500", 222 m2,4,3,apartment
New Administrative Capital,"2,219,500", 193 m2,4,3,apartment
New Administrative Capital,"2,553,000", 222 m2,4,3,apartment
New Administrative Capital,"2,829,500", 222 m2,4,3,apartment
New Administrative Capital,"2,200,500", 165 m2,3,2,apartment
New Administrative Capital,"2,370,500", 165 m2,3,2,apartment
New Administrative Capital,"2,214,500", 165 m2,3,2,apartment
New Administrative Capital,"1,980,000", 165 m2,3,2,apartment
New Administrative Capital,"2,145,000", 165 m2,3,2,apartment
New Administrative Capital,"2,186,500", 165 m2,3,2,apartment
New Administrative Capital,"2,173,750", 185 m2,4,3,apartment
New Administrative Capital,"2,127,500", 185 m2,4,3,apartment
New Administrative Capital,"2,152,250", 165 m2,3,2,apartment
New Administrative Capital,"1,897,500", 165 m2,3,2,apartment
New Administrative Capital,"2,141,750", 165 m2,3,2,apartment
New Administrative Capital,"7,600,000", 280 m2,5,5,twin-house
New Administrative Capital,"10,480,000", 334 m2,6,5,villa
New Administrative Capital,"8,200,000", 300 m2,4,5,villa
New Administrative Capital,"5,600,000", 286 m2,4,4,town-house
New Administrative Capital,"5,190,000", 216 m2,4,3,town-house
New Administrative Capital,"10,480,000", 334 m2,5,4,villa
New Administrative Capital,"7,470,000", 255 m2,5,4,town-house
New Administrative Capital,"15,260,000", 450 m2,6,5,villa
New Administrative Capital,"9,190,000", 280 m2,3,4,villa
New Administrative Capital,"10,480,000", 392 m2,4,4,villa
New Administrative Capital,"6,300,000", 225 m2,4,3,town-house
New Administrative Capital,"16,160,000", 450 m2,6,4,villa
New Administrative Capital,"5,490,000", 230 m2,4,4,town-house
New Administrative Capital,"7,590,000", 280 m2,4,4,twin-house
New Administrative Capital,"15,180,000", 422 m2,6,5,villa
New Administrative Capital,"10,050,000", 300 m2,5,5,villa
New Administrative Capital,"10,000,000", 400 m2,4,3,villa
New Administrative Capital,"6,100,000", 216 m2,4,3,villa
New Administrative Capital,"5,600,000", 500 m2,5,3,villa
New Administrative Capital,"9,100,000", 334 m2,5,5,villa
New Administrative Capital,"5,600,000", 300 m2,5,3,villa
New Administrative Capital,"18,000,000", 422 m2,5,5,villa
New Administrative Capital,"6,000,000", 254 m2,4,5,twin-house
