City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
North Coast,"2,400,000", 60 m2,1,1,apartment
Maadi,"6,500,000", 190 m2,2,2,apartment
New Administrative Capital,"2,328,000", 194 m2,3,3,apartment
New Administrative Capital,"1,760,000", 160 m2,3,2,apartment
Sheikh Zayed,"1,650,000", 110 m2,2,2,apartment
Sheikh Zayed,"930,000", 62 m2,1,1,studio
New Administrative Capital,"5,000,000", 320 m2,5,3,villa
New Cairo,"13,500,000", 540 m2,5,5,villa
New Administrative Capital,"3,970,000", 190 m2,3,2,apartment
Sheikh Zayed,"6,557,000", 260 m2,4,3,villa
Mostakbal City,"2,000,000", 110 m2,1,1,studio
6th October,"4,800,000", 392 m2,4,3,pent-house
6th October,"4,220,000", 300 m2,4,3,pent-house
New Cairo,"3,720,000", 198 m2,3,2,apartment
New Cairo,"3,500,000", 193 m2,2,2,apartment
Shorouk City,"5,300,000", 229 m2,4,2,apartment
Shorouk City,"4,620,000", 210 m2,3,2,apartment
Shorouk City,"2,800,000", 156 m2,2,2,apartment
New Administrative Capital,"1,452,000", 120 m2,2,2,apartment
New Administrative Capital,"3,000,000", 400 m2,4,4,twin-house
New Mansoura City,"5,475,000", 395 m2,5,3,villa
New Mansoura City,"3,195,000", 213 m2,5,3,villa
New Cairo,"1,016,000", 130 m2,2,1,apartment
6th October,"1,108,600", 83 m2,2,1,apartment
Nasr City,"860,000", 92 m2,2,1,apartment
Al Ain Al Sokhna,"2,200,000", 152 m2,3,2,chalet
New Cairo,"2,680,000", 216 m2,3,4,apartment
New Cairo,"1,750,000", 133 m2,3,2,apartment
New Administrative Capital,"6,300,000", 440 m2,4,2,villa
New Cairo,"3,210,000", 162 m2,3,3,apartment
New Cairo,"4,700,000", 175 m2,3,3,apartment
New Administrative Capital,"1,300,000", 190 m2,3,2,apartment
6th October,"2,650,000", 272 m2,3,3,villa
6th October,"4,535,370", 269 m2,3,3,villa
New Cairo,"4,200,000", 263 m2,3,3,villa
New Cairo,"1,600,000", 170 m2,3,2,apartment
New Cairo,"3,100,000", 182 m2,3,3,apartment
6th October,"5,700,000", 273 m2,4,3,pent-house
New Cairo,"1,800,000", 157 m2,3,3,apartment
New Cairo,"4,000,000", 300 m2,5,4,villa
New Cairo,"3,700,000", 238 m2,4,3,duplex
New Administrative Capital,"1,350,000", 135 m2,3,2,apartment
New Cairo,"4,018,000", 108 m2,2,2,apartment
New Cairo,"8,430,000", 240 m2,4,3,twin-house
New Cairo,"5,300,000", 350 m2,4,3,twin-house
New Cairo,"2,560,000", 128 m2,2,1,apartment
New Cairo,"16,500,000", 780 m2,7,4,villa
New Cairo,"13,000,000", 640 m2,6,5,villa
New Cairo,"10,500,000", 420 m2,4,3,villa
New Cairo,"2,100,000", 400 m2,4,3,villa
Sheikh Zayed,"11,000,000", 620 m2,6,4,villa
Sheikh Zayed,"16,000,000", 500 m2,4,4,villa
Sheikh Zayed,"13,500,000", 850 m2,5,3,villa
Sheikh Zayed,"7,026,000", 220 m2,5,3,villa
Sheikh Zayed,"5,658,000", 199 m2,3,3,town-house
New Heliopolis City,"3,620,000", 179 m2,3,2,apartment
New Administrative Capital,"1,479,000", 170 m2,3,2,apartment
Sheikh Zayed,"2,650,000", 125 m2,2,2,apartment
6th October,"3,850,000", 160 m2,3,3,town-house
6th October,"2,424,000", 105 m2,2,2,twin-house
New Administrative Capital,"8,500,000", 500 m2,6,6,villa
6th October,"1,680,000", 137 m2,3,2,apartment
6th October,"2,238,000", 152 m2,3,3,apartment
New Cairo,"7,250,000", 360 m2,4,3,villa
Sheikh Zayed,"9,500,000", 280 m2,4,4,villa
Sheikh Zayed,"6,000,000", 220 m2,4,4,villa
Al Ain Al Sokhna,"2,300,000", 115 m2,2,2,chalet
Al Ain Al Sokhna,"1,650,000", 120 m2,2,2,chalet
New Administrative Capital,"1,972,097", 169 m2,3,3,apartment
New Administrative Capital,"1,353,000", 123 m2,2,2,apartment
Al Ain Al Sokhna,"1,500,000", 135 m2,3,2,chalet
6th October,"5,199,452", 179 m2,2,1,apartment
6th October,"5,777,010", 180 m2,3,3,apartment
New Cairo,"4,300,000", 175 m2,4,3,villa
New Administrative Capital,"1,667,500", 145 m2,3,3,apartment
New Administrative Capital,"1,552,500", 135 m2,3,3,apartment
New Cairo,"5,000,000", 380 m2,3,3,town-house
New Cairo,"6,500,000", 326 m2,5,4,twin-house
New Cairo,"2,747,500", 175 m2,3,3,apartment
Al Ain Al Sokhna,"2,200,000", 145 m2,3,3,town-house
Sheikh Zayed,"6,250,000", 280 m2,4,3,villa
Al Ain Al Sokhna,"2,700,000", 104 m2,2,2,chalet-with-garden
Alexandria,"2,000,000", 162 m2,3,3,apartment
Alexandria,"2,000,000", 121 m2,2,2,apartment
Alexandria,"15,500,000", 270 m2,5,5,villa
New Cairo,"1,750,000", 210 m2,3,3,apartment
Alexandria,"2,909,923", 169 m2,2,2,apartment
Alexandria,"6,939,700", 197 m2,4,3,apartment
New Administrative Capital,"2,881,449", 235 m2,4,3,apartment
New Cairo,"3,900,000", 156 m2,3,2,apartment
Al Ain Al Sokhna,"2,000,000", 110 m2,3,2,chalet-with-garden
Al Ain Al Sokhna,"1,386,000", 80 m2,2,2,chalet
Katameya City,"2,200,000", 350 m2,3,3,duplex
Katameya City,"2,300,000", 231 m2,3,3,apartment
Alex Desert Road,"3,600,000", 280 m2,3,3,apartment
New Cairo,"7,500,000", 446 m2,4,5,villa
New Cairo,"9,500,000", 250 m2,4,4,villa
New Cairo,"9,000,000", 357 m2,3,5,villa
New Cairo,"10,045,000", 550 m2,3,3,villa
Mostakbal City,"1,657,630", 146 m2,3,2,apartment
New Cairo,"2,699,533", 160 m2,3,3,apartment
6th October,"9,205,009", 386 m2,4,3,villa
6th October,"1,784,786", 100 m2,2,2,apartment
Mostakbal City,"2,401,900", 150 m2,3,2,apartment
Sheikh Zayed,"6,602,000", 260 m2,3,3,town-house
New Cairo,"2,914,823", 160 m2,3,2,apartment
New Cairo,"3,715,708", 185 m2,3,2,apartment
New Administrative Capital,"1,520,000", 160 m2,3,2,apartment
Al Ain Al Sokhna,"1,600,000", 50 m2,1,1,studio
New Administrative Capital,"6,066,000", 337 m2,3,2,apartment
New Administrative Capital,"5,994,000", 333 m2,3,2,apartment
6th October,"8,494,000", 192 m2,3,2,villa
New Cairo,"2,400,224", 152 m2,3,2,pent-house
New Cairo,"3,131,280", 165 m2,3,2,pent-house
New Mansoura City,"14,670,000", 489 m2,5,6,town-house
Shorouk City,"2,640,000", 190 m2,3,2,pent-house
New Mansoura City,"11,610,000", 387 m2,5,3,town-house
New Mansoura City,"4,800,000", 160 m2,3,2,apartment
New Mansoura City,"5,460,000", 182 m2,3,2,apartment
New Administrative Capital,"3,311,700", 285 m2,5,4,apartment
New Mansoura City,"4,500,000", 300 m2,5,3,villa
New Cairo,"4,871,129", 230 m2,5,4,villa
Shorouk City,"11,800,000", 440 m2,5,3,villa
Shorouk City,"8,250,000", 373 m2,5,3,twin-house
Shorouk City,"4,300,000", 164 m2,3,2,town-house
Mostakbal City,"3,100,000", 210 m2,3,3,apartment
New Cairo,"1,759,392", 164 m2,3,2,apartment
Mostakbal City,"2,239,927", 141 m2,3,3,apartment
Shorouk City,"4,800,555", 245 m2,3,3,town-house
Shorouk City,"1,950,555", 135 m2,3,1,apartment
Nasr City,"750,000", 106 m2,2,2,pent-house
Nasr City,"800,000", 106 m2,2,2,apartment
Nasr City,"1,600,500", 165 m2,3,2,apartment
Nasr City,"939,300", 93 m2,2,2,apartment
Nasr City,"2,216,000", 160 m2,2,2,apartment
Nasr City,"2,162,000", 153 m2,2,2,apartment
Nasr City,"2,140,000", 150 m2,2,2,apartment
Shorouk City,"5,700,000", 600 m2,6,5,villa
Sheikh Zayed,"2,000,000", 170 m2,2,2,apartment
Sheikh Zayed,"1,500,000", 110 m2,2,2,apartment
6th October,"5,000,000", 298 m2,4,3,duplex
New Administrative Capital,"1,507,000", 137 m2,2,2,apartment
Sheikh Zayed,"6,120,000", 306 m2,4,3,villa
6th October,"3,600,000", 210 m2,3,2,duplex
6th October,"3,550,000", 206 m2,3,2,duplex
Shorouk City,"4,930,000", 220 m2,4,2,apartment
New Cairo,"2,350,000", 235 m2,5,3,villa
New Cairo,"6,400,000", 176 m2,3,2,apartment
New Cairo,"3,785,954", 133 m2,3,2,apartment
Alexandria,"2,180,000", 123 m2,2,2,apartment
New Cairo,"1,700,000", 333 m2,4,3,apartment
New Cairo,"1,500,000", 165 m2,3,3,apartment
Katameya City,"1,060,000", 120 m2,2,2,apartment
Katameya City,"2,250,000", 160 m2,3,3,apartment
